bI_0,alpha,new deaths,bI,bA,bP,R0
0.186,-0.257,2.144299452693453,0.1528877141475377,0.07644385707376886,0.7644385707376886,0.3123496000034196

0.186,-0.257,2.21654797414027,0.15159117540938444,0.07579558770469222,0.7579558770469221,0.3097007713613724

0.186,-0.257,2.28977623832002,0.15033016420623907,0.07516508210311953,0.7516508210311954,0.30712452547334645

0.186,-0.257,2.363965251111978,0.1491032756257561,0.07455163781287805,0.7455163781287805,0.3046179921034197

0.186,-0.257,2.4390960488292697,0.14790917552529967,0.07395458776264983,0.7395458776264984,0.30217844559818724

0.186,-0.257,2.515149726356708,0.14674659615540608,0.07337329807770304,0.7337329807770304,0.29980329594549465

0.186,-0.257,2.592107453618995,0.14561433225029785,0.07280716612514893,0.7280716612514893,0.2974900807873585

0.186,-0.257,2.6699505040690097,0.14451123719186254,0.07225561859593127,0.7225561859593127,0.2952364575829752

0.186,-0.257,2.7486602530759345,0.1434362198411616,0.0717181099205808,0.717181099205808,0.2930401971354931

0.186,-0.257,2.8282182321045735,0.14238824080715318,0.07119412040357659,0.7119412040357659,0.290899175969014

0.186,-0.257,2.9086061114145245,0.1413663099147953,0.07068315495739765,0.7068315495739764,0.28881137115592675

0.186,-0.257,2.9898057298629093,0.14036948319826853,0.07018474159913426,0.7018474159913426,0.2867748541740626

0.186,-0.257,3.071799107550211,0.13939686030687257,0.06969843015343628,0.6969843015343629,0.2847877856069407

0.186,-0.257,3.1545684588382534,0.1384475820626957,0.06922379103134785,0.6922379103134785,0.28284841015408735

0.186,-0.257,3.238096197198524,0.13752082825540715,0.06876041412770358,0.6876041412770357,0.2809550521257968

0.186,-0.257,3.3223649575287153,0.1366158153746851,0.06830790768734255,0.6830790768734254,0.27910611081048164

0.186,-0.257,3.4073575977679136,0.13573179470589117,0.06786589735294558,0.6786589735294558,0.2773000565841357

0.186,-0.257,3.4930571983120955,0.13486805054845777,0.06743402527422888,0.6743402527422888,0.27553542727049923

0.186,-0.257,3.5794470978732478,0.13402389817644694,0.06701194908822347,0.6701194908822348,0.27381082397448114

0.186,-0.257,3.6665108305325154,0.133198682873479,0.0665993414367395,0.665993414367395,0.2721249091105176

0.186,-0.257,3.754232236924653,0.13239177736562602,0.06619588868281301,0.6619588868281301,0.270476401157974

0.186,-0.257,3.8425954000658162,0.13160258105985054,0.06580129052992527,0.6580129052992527,0.2688640731052747

0.186,-0.257,3.931584658866644,0.1308305185858698,0.0654152592929349,0.654152592929349,0.26728674947093206

0.186,-0.257,4.021184630272248,0.13007503835800577,0.06503751917900288,0.6503751917900289,0.2657433033654058

0.186,-0.257,4.111380179585155,0.12933561165300708,0.06466780582650354,0.6466780582650354,0.2642326546070935

0.186,-0.257,4.202156445775576,0.12861173127659048,0.06430586563829524,0.6430586563829523,0.26275376699807435

0.186,-0.257,4.293498816921183,0.12790291070516102,0.06395145535258051,0.6395145535258051,0.261305646570644

0.186,-0.257,4.385393042602176,0.12720868223187287,0.06360434111593644,0.6360434111593644,0.2598873377997163

0.186,-0.257,4.477825018658942,0.12652859767732766,0.06326429883866383,0.6326429883866382,0.2584979250547804

0.186,-0.257,4.570780993366282,0.12586222591798812,0.06293111295899406,0.6293111295899406,0.2571365275504498

0.186,-0.257,4.6642474623547825,0.12520915284344467,0.06260457642172233,0.6260457642172234,0.2558022992591575

0.186,-0.257,4.758211197229637,0.12456898034219886,0.06228449017109943,0.6228449017109943,0.25449442683911233

0.186,-0.257,4.852659250389537,0.12394132551671208,0.06197066275835604,0.6197066275835604,0.25321212803064286

0.186,-0.257,4.947578926870796,0.12332582015380981,0.06166291007690491,0.6166291007690491,0.2519546505742335

0.186,-0.257,5.042957809333274,0.12272210987403863,0.061361054937019315,0.6136105493701931,0.25072127047266096

0.186,-0.257,5.138783740832128,0.1221298535981752,0.0610649267990876,0.610649267990876,0.24951129090107196

0.186,-0.257,5.235044822435692,0.12154872294377951,0.060774361471889755,0.6077436147188976,0.24832404097414157

0.186,-0.257,5.331729422984114,0.12097840158171404,0.06048920079085702,0.6048920079085702,0.2471588744314418

0.186,-0.257,5.4288261567187845,0.12041858481448427,0.06020929240724213,0.6020929240724213,0.2460151687759914

0.186,-0.257,5.526323932217015,0.1198689787686995,0.05993448938434975,0.5993448938434974,0.2448923236244531

0.186,-0.257,5.6242118752573464,0.11932930033911764,0.05966465016955882,0.5966465016955882,0.24378976059281737

0.186,-0.257,5.722479393544657,0.1187992763451037,0.05939963817255185,0.5939963817255185,0.24270692157304685

0.186,-0.257,5.821116131971283,0.11827864332982327,0.059139321664911634,0.5913932166491164,0.24164326832282895

0.186,-0.257,5.9201119511911235,0.11776714723250771,0.058883573616253855,0.5888357361625386,0.24059828179601328

0.186,-0.257,6.019456969374212,0.1172645427537644,0.0586322713768822,0.586322713768822,0.23957146084594066

0.186,-0.257,6.1191415363107025,0.11677059310103928,0.05838529655051964,0.5838529655051964,0.23856232170542327

